spectrum,det,part,matrix_applied,grey_below_floor,grey_above_lines,grey_pct,spread_floor_kev,spread_floor_ch,residual_floor_kev,residual_floor_ch,first_ch,last_ch,stack_total,missing_pct,excess_pct
G1S16_Am241_P25,G1S16,known,1,3217.0,23.0,3.519,100.0,40,30.0,15,0,1023,92058.5,8.435,5.368
G1S16_Ba133_P25,G1S16,known,1,9546.6,19.4,2.597,100.0,38,30.0,13,0,1023,368292.2,9.077,4.698
G1S16_Cd109_P25,G1S16,known,1,1152.2,36.1,7.348,100.0,37,30.0,13,0,1023,16171.3,92.519,83.524
G1S16_Ce139_P25,G1S16,known,1,1062.0,115.4,6.280,100.0,37,30.0,13,0,1023,18747.7,18.442,22.366
G1S16_Co60_P25,G1S16,known,1,21505.7,4.2,5.007,100.0,36,30.0,11,0,1023,429620.6,2.306,2.304
G1S16_Cs137_P25,G1S16,known,1,22759.0,2.7,5.028,100.0,37,30.0,13,0,1023,452703.7,2.547,2.540
G1S16_Eu152_P25,G1S16,known,1,65763.2,18.7,7.623,100.0,38,30.0,14,0,1023,862969.2,4.696,4.761
G1S16_Mn54_P25,G1S16,known,1,13452.0,10.9,7.320,100.0,40,30.0,15,0,1023,183910.5,3.312,3.391
G1S16_Na22_P25,G1S16,known,1,105971.7,12.9,7.371,100.0,38,30.0,14,0,1023,1437953.8,2.631,2.414
G1S16_Th228_P25,G1S16,known,1,3713.7,0.0,6.154,100.0,39,30.0,14,0,1023,60348.6,8.140,8.250
G1S16_Y88_P25,G1S16,known,1,0.0,0.0,0.000,100.0,40,30.0,15,6,1023,9987.6,36.150,80.284
G1S16_Am241_P5,G1S16,known,1,12733.7,582.9,2.100,100.0,40,30.0,16,0,1023,634054.6,7.315,1.581
G1S16_Ba133_P5,G1S16,known,1,82727.8,474.6,1.824,100.0,38,30.0,13,0,1023,4560288.0,11.162,6.447
G1S16_Cd109_P5,G1S16,known,1,8844.8,272.6,4.092,100.0,38,30.0,13,0,1023,222808.7,48.129,3.959
G1S16_Ce139_P5,G1S16,known,1,15870.5,756.6,6.880,100.0,38,30.0,13,0,1023,241688.0,11.964,8.500
G1S16_Co57_P5,G1S16,known,1,658.5,181.0,10.869,100.0,38,30.0,14,0,1023,7723.5,23.235,17.939
G1S16_Co60_P5,G1S16,known,1,148824.5,6.9,5.242,100.0,40,30.0,16,0,1023,2839243.0,5.367,3.093
G1S16_Cs137_P5,G1S16,known,1,263154.2,0.0,5.337,100.0,39,30.0,15,0,1023,4930910.8,3.990,3.077
G1S16_Eu152_P5,G1S16,known,1,324126.7,129.0,6.565,100.0,38,30.0,14,0,1023,4939247.1,7.093,5.615
G1S16_Mn54_P5,G1S16,known,1,15212.6,432.7,2.548,100.0,48,30.0,25,15,1023,614070.4,5.952,3.314
G1S16_Na22_P5,G1S16,known,1,332700.4,304.2,6.552,100.0,34,30.0,9,0,1023,5082295.5,5.065,3.161
G1S16_Th228_P5,G1S16,known,1,20859.1,0.0,5.836,100.0,40,30.0,16,6,1023,357400.8,8.150,6.051
G1S16_Y88_P5,G1S16,known,1,2498.3,0.0,4.999,100.0,40,30.0,16,0,1023,49976.5,6.726,5.991
