ch,keV,net,model,continuum_raw,untied_tail,fit,Cs-137,Backscatter,Xray-Pb-L,Xray-Pb,pile-up,continuum
0,-6.443,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,-6.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,-5.690,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,-5.314,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,-4.937,0.000,0.000,0.000,0.000,-0.716,0.000,0.000,0.000,0.000,0.000,0.000
5,-4.560,7.614,0.000,0.000,0.000,7.614,0.000,0.000,0.000,0.000,0.000,0.000
6,-4.184,0.859,0.000,0.000,0.000,0.859,0.000,0.000,0.000,0.000,0.000,0.000
7,-3.807,7.401,0.000,0.000,0.000,7.401,0.000,0.000,0.000,0.000,0.000,0.000
8,-3.430,27.757,0.000,0.000,0.000,27.757,0.000,0.000,0.000,0.000,0.000,0.000
9,-3.054,33.209,0.000,0.000,0.000,33.209,0.000,0.000,0.000,0.000,0.000,0.000
10,-2.677,88.196,0.000,0.000,0.000,88.196,0.000,0.000,0.000,0.000,0.000,0.000
11,-2.300,37.958,0.000,0.000,0.000,37.958,0.000,0.000,0.000,0.000,0.000,0.000
12,-1.924,81.784,0.000,0.000,0.000,81.784,0.000,0.000,0.000,0.000,0.000,0.000
13,-1.547,137.255,0.000,0.000,0.000,137.255,0.000,0.000,0.000,0.000,0.000,0.000
14,-1.170,217.810,0.000,0.000,0.000,217.810,0.000,0.000,0.000,0.000,0.000,0.000
15,-0.794,393.352,0.000,0.000,0.000,393.352,0.000,0.000,0.000,0.000,0.000,0.000
16,-0.417,598.288,0.000,0.000,0.000,598.288,0.000,0.000,0.000,0.000,0.000,0.000
17,-0.040,931.301,0.000,0.000,0.000,931.301,0.000,0.000,0.000,0.000,0.000,0.000
18,0.337,1290.546,0.000,0.000,0.000,1290.546,0.000,0.000,0.000,0.000,0.000,0.000
19,0.713,1637.398,0.000,0.000,0.000,1637.398,0.000,0.000,0.000,0.000,0.000,0.000
20,1.090,1982.030,0.000,0.000,0.000,1982.030,0.000,0.000,0.000,0.000,0.000,0.000
21,1.467,2535.042,0.000,0.000,0.000,2535.042,0.000,0.000,0.000,0.000,0.000,0.000
22,1.844,3397.436,0.000,0.000,0.000,3397.436,0.000,0.000,0.000,0.000,0.000,0.000
23,2.221,5557.682,0.000,0.000,0.000,5557.682,0.000,0.000,0.000,0.000,0.000,0.000
24,2.597,9605.321,0.000,0.000,0.000,9605.321,0.000,0.000,0.000,0.000,0.000,0.000
25,2.974,16667.909,0.000,0.000,0.000,16667.909,0.000,0.000,0.000,0.000,0.000,0.000
26,3.351,27158.924,0.000,0.000,0.000,27158.924,0.000,0.000,0.000,0.000,0.000,0.000
27,3.728,40101.307,0.000,0.000,0.000,40101.307,0.000,0.000,0.000,0.000,0.000,0.000
28,4.105,54936.421,0.000,0.000,0.000,54936.421,0.000,0.000,0.000,0.000,0.000,0.000
29,4.482,69996.000,0.000,0.000,0.000,69996.000,0.000,0.000,0.000,0.000,0.000,0.000
30,4.859,84221.147,0.000,0.000,0.000,84221.147,0.000,0.000,0.000,0.000,0.000,0.000
31,5.235,97228.041,0.000,0.000,0.000,97228.041,0.000,0.000,0.000,0.000,0.000,0.000
32,5.612,107879.175,0.000,0.000,0.000,107879.175,0.000,0.000,0.000,0.000,0.000,0.000
33,5.989,115664.010,0.000,0.000,0.000,115664.010,0.000,0.000,0.000,0.000,0.000,0.000
34,6.366,122015.716,0.000,0.000,0.000,122015.716,0.000,0.000,0.000,0.000,0.000,0.000
35,6.743,126358.994,141044.395,106797.325,0.000,126358.994,1527.064,17.566,32967.355,0.000,0.000,106797.325
36,7.120,131409.033,145937.728,105292.336,0.000,131409.033,1995.427,21.582,38893.306,0.000,0.000,105292.336
37,7.497,135296.910,151902.065,104636.814,0.000,135296.910,2608.553,26.517,44895.110,0.000,0.000,104636.814
38,7.874,140717.662,158166.838,104238.154,0.000,140717.662,3411.523,32.582,50781.779,0.000,0.000,104238.154
39,8.251,146184.069,164129.766,103725.292,0.000,146184.069,4463.508,40.034,56281.267,0.000,0.000,103725.292
40,8.628,152918.360,169496.696,102861.509,0.000,152918.360,5842.077,49.192,61124.263,0.000,0.000,102861.509
41,9.005,158137.457,173932.439,101496.586,0.000,158137.457,7649.239,60.446,65106.524,0.000,0.000,101496.586
42,9.382,165742.227,177283.020,99503.886,0.000,165742.227,10008.763,74.275,68076.462,0.000,0.000,99503.886
