det,spectrum,e_kev,fwhm_kev,weight,reduced,kept
AS1PRO,AS1Pro_Ra226,186.211,16.419354122334664,100.0,np.float64(1.2032431650231519),1
AS1PRO,AS1Pro_Ra226,295.0377299602081,26.69064368408677,98.1157456819482,np.float64(1.5538899885653819),1
AS1PRO,AS1Pro_Ra226,351.7206771478605,32.29410824049217,98.44454940883305,np.float64(1.7219651045259838),1
AS1PRO,AS1Pro_Ra226,608.2504396412795,46.50871397709862,95.99464058602844,np.float64(1.8857890739213394),1
AS1PRO,AS1Pro_Ra226,1123.7353183960552,67.68846574686106,90.09581809011054,np.float64(2.0192154238964064),1
AS80x80,AS80_Am241,59.5409,7.561372087590113,100.0,np.float64(0.9799251685162383),1
AS80x80,AS80_Cs137_0cm,186.211,22.12222883332229,55.80971108184678,np.float64(1.6211612491239866),1
AS80x80,AS80_Cs137_0cm,661.657,40.059320869424845,100.0,np.float64(1.5573532253003641),1
AS80x80,AS80_Cs137_0cm,913.6510160478541,30.13262814286126,5.974085819714839,np.float64(0.9968890860565655),1
AS80x80,AS80_Cs137_0cm,1120.294,70.06388903595642,21.094346605705358,np.float64(2.0932843908765153),1
AS80x80,AS80_Cs137_0cm,1460.82,85.2387651930855,100.0,np.float64(2.230174247808377),1
AS80x80,AS80_Cs137_0cm,2614.511,76.46877004290918,44.67254656954822,np.float64(1.4955084394272502),1
AS80x80,AS80_K40,913.6510160478541,59.347760544328374,28.5572696298454,np.float64(1.9634243149333719),0
AS80x80,AS80_K40,1120.294,81.78730596523539,100.0,np.float64(2.443542505341202),0
AS80x80,AS80_K40,1764.4909999999998,119.76173886226091,100.0,np.float64(2.851073210000659),0
AS80x80,AS80_K40,2204.1,138.46460698544888,72.54649776193538,np.float64(2.9493283813469255),0
AS80x80,AS80_K40,2614.511,72.3954440135251,100.0,np.float64(1.4158459386434095),0
AS80x80,AS80_Lu176,88.34,10.152870266562834,23.106268097842737,np.float64(1.0802148400341558),1
AS80x80,AS80_Lu176,201.81214462769304,18.62463094346458,99.51943511608225,np.float64(1.3110342180249925),1
AS80x80,AS80_Lu176,306.6556462162609,27.271107044489057,98.85056093431858,np.float64(1.5573179354747873),1
AS80x80,AS80_Lu176,1460.82,68.43531750447148,50.963025269647716,np.float64(1.790531366724242),1
AS80x80,AS80_Lu176,1764.4909999999998,73.55816490297235,12.992588268457608,np.float64(1.751141185190003),1
AS80x80,AS80_Lu176_v2,88.34,9.767841702056318,41.458718179972514,np.float64(1.0392497180245952),1
