ch,keV,net,model,continuum_raw,Pb-214,Bi-214,Pb-212,Tl-208,Ra-224,Esc-CsI
0,-5.910,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,-5.534,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,-5.158,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,-4.782,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,-4.406,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5,-4.030,0.716,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6,-3.654,2.705,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,-3.278,4.587,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,-2.902,13.510,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,-2.526,18.677,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,-2.150,29.841,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,-1.774,28.630,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,-1.398,27.754,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,-1.022,28.539,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,-0.646,19.409,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15,-0.269,26.454,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,0.107,20.658,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,0.483,18.622,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
18,0.859,17.490,181.434,170.803,83.883,61.734,7.912,3.866,0.400,23.639
19,1.235,9.524,185.209,173.709,85.317,62.789,8.047,3.932,0.407,24.717
20,1.611,17.176,188.842,176.431,86.662,63.778,8.174,3.994,0.413,25.821
21,1.988,12.490,192.356,178.994,87.930,64.710,8.293,4.053,0.419,26.952
22,2.364,8.592,195.771,181.421,89.132,65.593,8.406,4.108,0.425,28.107
23,2.740,19.240,199.104,183.733,90.279,66.436,8.514,4.161,0.430,29.283
24,3.116,34.471,202.371,185.954,91.383,67.246,8.618,4.211,0.435,30.478
25,3.493,69.402,205.587,188.100,92.452,68.030,8.719,4.260,0.441,31.686
26,3.869,106.376,208.762,190.191,93.496,68.794,8.816,4.308,0.445,32.902
27,4.245,149.376,211.905,192.241,94.522,69.545,8.913,4.355,0.450,34.120
28,4.622,190.106,215.022,194.265,95.537,70.286,9.008,4.402,0.455,35.334
29,4.998,195.652,218.115,196.272,96.548,71.023,9.102,4.448,0.460,36.534
30,5.374,228.446,221.185,198.272,97.559,71.757,9.196,4.494,0.465,37.714
31,5.751,264.008,224.231,200.273,98.575,72.493,9.290,4.540,0.469,38.865
32,6.127,277.178,227.250,202.278,99.597,73.230,9.385,4.586,0.474,39.977
33,6.504,269.082,230.236,204.290,100.629,73.972,9.480,4.633,0.479,41.044
34,6.880,265.235,233.182,206.311,101.671,74.716,9.575,4.679,0.484,42.056
35,7.257,297.085,236.081,208.337,102.724,75.464,9.671,4.726,0.489,43.006
36,7.633,311.105,238.922,210.367,103.788,76.214,9.767,4.773,0.493,43.886
37,8.010,316.285,241.695,212.395,104.860,76.964,9.863,4.820,0.498,44.689
38,8.386,307.059,244.391,214.413,105.940,77.711,9.959,4.867,0.503,45.411
39,8.763,328.288,246.996,216.413,107.023,78.452,10.054,4.913,0.508,46.046
40,9.139,329.320,249.501,218.384,108.108,79.183,10.148,4.959,0.513,46.590
41,9.516,345.290,251.891,220.313,109.189,79.900,10.240,5.004,0.517,47.042
42,9.892,377.231,254.157,222.187,110.261,80.597,10.329,5.048,0.522,47.400
43,10.269,384.868,256.285,223.991,111.321,81.269,10.415,5.090,0.526,47.664
44,10.646,347.783,258.264,225.706,112.361,81.910,10.497,5.130,0.530,47.836
45,11.022,388.790,260.081,227.317,113.375,82.513,10.575,5.167,0.534,47.917
46,11.399,376.753,261.727,228.804,114.357,83.071,10.646,5.202,0.538,47.912
47,11.775,376.009,263.189,230.148,115.300,83.578,10.711,5.234,0.541,47.824
48,12.152,412.003,264.456,231.329,116.197,84.026,10.769,5.262,0.544,47.658
49,12.529,365.309,265.520,232.328,117.041,84.408,10.818,5.286,0.547,47.421
50,12.906,369.032,266.370,233.125,117.823,84.717,10.857,5.306,0.549,47.119
51,13.282,369.671,266.999,233.703,118.539,84.946,10.887,5.320,0.550,46.757
52,13.659,359.640,267.398,234.042,119.180,85.090,10.905,5.329,0.551,46.344
53,14.036,386.472,267.562,234.129,119.741,85.141,10.911,5.332,0.551,45.886
54,14.413,350.462,267.486,233.948,120.217,85.095,10.906,5.329,0.551,45.389
55,14.789,369.350,267.166,233.489,120.602,84.947,10.887,5.320,0.550,44.860
56,15.166,398.308,266.601,232.743,120.893,84.695,10.854,5.304,0.548,44.305
57,15.543,317.305,265.792,231.704,121.088,84.337,10.809,5.282,0.546,43.730
58,15.920,366.085,264.741,230.372,121.184,83.872,10.749,5.253,0.543,43.140
59,16.297,367.071,263.454,228.746,121.182,83.300,10.676,5.217,0.539,42.540
60,16.674,379.819,261.939,226.834,121.083,82.623,10.589,5.175,0.535,41.933
61,17.051,351.658,260.205,224.645,120.890,81.846,10.490,5.126,0.530,41.324
62,17.427,386.627,258.267,222.192,120.606,80.972,10.378,5.071,0.524,40.716
63,17.804,360.888,256.139,219.494,120.236,80.009,10.254,5.011,0.518,40.111
64,18.181,341.195,253.840,216.571,119.787,78.964,10.121,4.946,0.511,39.511
65,18.558,355.978,251.390,213.449,119.268,77.846,9.978,4.876,0.504,38.919
66,18.935,341.007,248.812,210.154,118.687,76.664,9.827,4.802,0.496,38.336
67,19.312,318.140,246.131,206.718,118.054,75.431,9.669,4.725,0.488,37.764
68,19.689,307.790,243.373,203.172,117.380,74.158,9.506,4.646,0.480,37.203
69,20.066,310.516,240.566,199.551,116.677,72.857,9.340,4.564,0.472,36.656
70,20.443,304.328,237.738,195.888,115.955,71.541,9.172,4.482,0.463,36.123
71,20.820,255.439,234.917,192.220,115.228,70.222,9.004,4.400,0.455,35.607
72,21.198,246.888,232.134,188.580,114.508,68.914,8.838,4.319,0.446,35.108
73,21.575,218.972,229.416,185.002,113.807,67.628,8.675,4.239,0.438,34.629
74,21.952,239.786,226.791,181.518,113.135,66.377,8.516,4.162,0.430,34.171
75,22.329,205.699,224.287,178.158,112.506,65.171,8.364,4.087,0.422,33.737
76,22.706,182.469,221.928,174.948,111.928,64.020,8.220,4.017,0.414,33.329
77,23.083,206.325,219.738,171.914,111.412,62.934,8.084,3.950,0.407,32.951
78,23.460,188.188,217.740,169.077,110.966,61.919,7.958,3.888,0.401,32.606
79,23.838,222.289,215.952,166.453,110.599,60.984,7.844,3.832,0.395,32.298
80,24.215,183.736,214.394,164.058,110.317,60.134,7.741,3.781,0.389,32.031
81,24.592,198.197,213.080,161.901,110.126,59.371,7.651,3.737,0.384,31.811
82,24.969,222.630,212.025,159.991,110.031,58.701,7.574,3.698,0.380,31.641
83,25.346,185.010,211.240,158.329,110.036,58.123,7.510,3.666,0.376,31.529
84,25.724,198.317,210.736,156.917,110.143,57.639,7.460,3.640,0.373,31.480
85,26.101,165.629,210.521,155.752,110.355,57.248,7.425,3.621,0.370,31.501
86,26.478,207.214,210.602,154.828,110.673,56.949,7.403,3.609,0.368,31.600
87,26.856,185.590,210.986,154.139,111.098,56.740,7.396,3.603,0.367,31.783
88,27.233,197.125,211.676,153.674,111.629,56.617,7.403,3.603,0.366,32.059
89,27.610,179.856,212.678,153.423,112.266,56.578,7.424,3.609,0.365,32.436
90,27.988,186.243,213.994,153.373,113.008,56.618,7.458,3.621,0.365,32.922
91,28.365,194.554,215.627,153.510,113.853,56.735,7.507,3.640,0.366,33.526
92,28.743,204.217,217.580,153.821,114.800,56.922,7.569,3.664,0.367,34.258
93,29.120,243.840,219.855,154.291,115.847,57.178,7.645,3.693,0.368,35.124
94,29.497,191.928,222.454,154.908,116.992,57.496,7.734,3.727,0.370,36.135
95,29.875,206.072,225.377,155.655,118.231,57.874,7.837,3.767,0.372,37.296
96,30.252,169.944,228.626,156.521,119.564,58.307,7.952,3.811,0.375,38.616
97,30.630,149.777,231.115,156.408,120.451,58.393,8.029,3.835,0.375,40.031
98,31.007,238.210,233.928,156.387,121.425,58.528,8.120,3.864,0.375,41.617
99,31.385,157.311,237.063,156.449,122.483,58.709,8.222,3.896,0.376,43.377
100,31.763,204.915,240.516,156.581,123.621,58.933,8.338,3.932,0.376,45.315
101,32.140,179.863,244.282,156.776,124.837,59.199,8.466,3.972,0.378,47.430
102,32.518,162.658,248.355,157.023,126.126,59.505,8.606,4.016,0.379,49.722
103,32.895,191.761,252.724,157.316,127.484,59.850,8.759,4.063,0.380,52.188
104,33.273,237.696,257.379,157.647,128.906,60.232,8.923,4.113,0.382,54.823
105,33.651,173.373,262.306,158.011,130.387,60.650,9.099,4.166,0.383,57.620
106,34.028,196.033,267.487,158.402,131.922,61.104,9.286,4.222,0.385,60.567
107,34.406,170.673,272.903,158.816,133.505,61.594,9.483,4.280,0.387,63.653
108,34.783,181.974,278.531,159.248,135.130,62.119,9.691,4.340,0.390,66.863
109,35.161,187.637,284.347,159.695,136.789,62.678,9.907,4.403,0.392,70.179
110,35.539,174.199,290.322,160.156,138.476,63.271,10.132,4.466,0.395,73.582
111,35.917,169.991,296.425,160.626,140.183,63.898,10.365,4.532,0.397,77.050
112,36.294,242.555,302.623,161.104,141.903,64.558,10.603,4.598,0.400,80.559
113,36.672,185.358,308.880,161.589,143.628,65.251,10.847,4.665,0.403,84.085
114,37.050,255.477,315.160,162.079,145.350,65.976,11.095,4.733,0.407,87.599
115,37.428,233.355,321.423,162.574,147.061,66.731,11.345,4.801,0.410,91.076
116,37.806,184.042,327.631,163.071,148.752,67.516,11.596,4.868,0.414,94.485
117,38.183,236.798,333.743,163.571,150.416,68.329,11.847,4.936,0.417,97.798
118,38.561,265.212,339.721,164.073,152.045,69.168,12.096,5.002,0.421,100.988
119,38.939,269.533,345.525,164.576,153.632,70.031,12.341,5.068,0.426,104.027
120,39.317,267.817,351.118,165.081,155.170,70.917,12.581,5.132,0.430,106.888
121,39.695,259.658,356.465,165.586,156.652,71.822,12.815,5.195,0.435,109.546
122,40.073,301.241,361.533,166.092,158.074,72.744,13.040,5.256,0.440,111.979
123,40.451,281.111,366.293,166.599,159.429,73.680,13.257,5.315,0.445,114.167
124,40.829,331.165,370.717,167.106,160.714,74.627,13.462,5.373,0.450,116.092
125,41.207,343.158,374.784,167.613,161.924,75.581,13.656,5.427,0.455,117.740
126,41.585,361.038,378.476,168.121,163.058,76.540,13.837,5.480,0.461,119.100
127,41.963,365.066,381.778,168.629,164.113,77.500,14.004,5.530,0.467,120.165
128,42.341,319.138,384.683,169.136,165.087,78.458,14.157,5.578,0.473,120.931
129,42.719,381.565,387.185,169.644,165.981,79.409,14.295,5.623,0.479,121.398
130,43.097,379.987,389.286,170.152,166.795,80.352,14.418,5.666,0.485,121.570
131,43.475,336.235,390.990,170.660,167.530,81.283,14.526,5.706,0.491,121.455
132,43.853,401.289,392.307,171.168,168.187,82.198,14.619,5.744,0.497,121.062
133,44.231,369.338,393.251,171.676,168.769,83.095,14.698,5.779,0.503,120.407
134,44.609,383.888,393.840,172.184,169.278,83.972,14.763,5.812,0.510,119.505
135,44.987,361.776,394.093,172.692,169.718,84.825,14.814,5.844,0.516,118.376
136,45.365,407.471,394.035,173.200,170.092,85.654,14.853,5.873,0.522,117.041
137,45.743,431.591,393.691,173.708,170.404,86.456,14.880,5.901,0.529,115.522
138,46.122,402.845,393.091,174.216,170.658,87.230,14.898,5.927,0.535,113.844
139,46.500,425.166,392.261,174.724,170.858,87.975,14.906,5.951,0.541,112.031
140,46.878,383.484,391.234,175.232,171.009,88.690,14.906,5.975,0.547,110.108
141,47.256,430.628,390.038,175.740,171.114,89.374,14.901,5.997,0.553,108.099
142,47.634,433.159,388.704,176.248,171.180,90.028,14.890,6.019,0.558,106.028
143,48.013,416.701,387.261,176.756,171.209,90.652,14.877,6.040,0.564,103.919
144,48.391,412.903,385.737,177.264,171.208,91.246,14.862,6.061,0.569,101.792
145,48.769,398.036,384.160,177.772,171.180,91.812,14.847,6.082,0.574,99.666
146,49.147,399.352,382.555,178.280,171.131,92.349,14.833,6.102,0.579,97.560
147,49.526,421.682,380.944,178.788,171.066,92.860,14.823,6.123,0.583,95.489
148,49.904,429.092,379.351,179.296,170.991,93.346,14.817,6.144,0.588,93.465
149,50.283,373.271,377.794,179.804,170.911,93.808,14.817,6.166,0.592,91.500
150,50.661,441.984,376.292,180.312,170.833,94.248,14.825,6.189,0.596,89.601
151,51.039,464.534,374.860,180.820,170.764,94.668,14.841,6.212,0.600,87.774
152,51.418,489.305,373.513,181.328,170.711,95.071,14.868,6.237,0.603,86.023
153,51.796,436.168,372.263,181.836,170.682,95.457,14.906,6.263,0.606,84.348
154,52.175,483.079,371.123,182.344,170.686,95.829,14.958,6.290,0.610,82.750
155,52.553,456.205,370.102,182.852,170.733,96.189,15.024,6.320,0.613,81.224
156,52.931,447.426,369.210,183.360,170.832,96.539,15.106,6.351,0.615,79.768
157,53.310,485.142,368.458,183.868,170.996,96.880,15.204,6.384,0.618,78.375
158,53.688,508.133,367.853,184.376,171.236,97.216,15.322,6.420,0.621,77.039
159,54.067,518.219,367.405,184.884,171.565,97.548,15.459,6.459,0.623,75.752
160,54.445,492.183,367.124,185.392,171.998,97.877,15.618,6.500,0.625,74.506
161,54.824,429.255,367.020,185.900,172.548,98.206,15.800,6.544,0.628,73.294
162,55.203,456.046,367.104,186.408,173.233,98.537,16.007,6.591,0.630,72.106
163,55.581,445.168,367.387,186.916,174.068,98.870,16.241,6.642,0.632,70.934
164,55.960,478.093,367.882,187.424,175.071,99.209,16.502,6.696,0.634,69.770
165,56.338,549.535,368.604,187.932,176.258,99.554,16.794,6.754,0.637,68.608
166,56.717,496.045,369.568,188.440,177.649,99.907,17.118,6.816,0.639,67.439
167,57.096,522.409,370.789,188.948,179.260,100.271,17.476,6.882,0.641,66.259
168,57.474,512.347,372.284,189.456,181.112,100.646,17.870,6.952,0.644,65.061
169,57.853,455.120,374.072,189.964,183.221,101.034,18.302,7.027,0.646,63.843
170,58.232,532.519,376.171,190.472,185.606,101.437,18.774,7.107,0.649,62.599
171,58.610,505.183,378.600,190.980,188.285,101.856,19.288,7.191,0.651,61.329
172,58.989,498.000,381.377,191.488,191.274,102.293,19.846,7.279,0.654,60.030
173,59.368,517.399,384.523,191.996,194.590,102.750,20.451,7.373,0.657,58.703
174,59.747,497.024,388.054,192.504,198.246,103.227,21.103,7.471,0.660,57.347
175,60.125,513.947,391.989,193.012,202.255,103.727,21.805,7.574,0.663,55.965
176,60.504,467.114,396.343,193.520,206.630,104.251,22.557,7.681,0.667,54.557
177,60.883,457.673,401.132,194.028,211.380,104.800,23.362,7.793,0.670,53.127
178,61.262,377.285,406.366,194.536,216.510,105.377,24.219,7.909,0.674,51.677
179,61.641,423.454,412.056,195.044,222.026,105.981,25.130,8.029,0.679,50.212
180,62.020,450.510,418.209,195.552,227.930,106.614,26.095,8.152,0.683,48.735
181,62.398,417.040,424.827,196.060,234.219,107.278,27.113,8.278,0.688,47.251
182,62.777,489.681,431.910,196.568,240.888,107.973,28.183,8.408,0.693,45.764
183,63.156,530.002,439.453,197.076,247.931,108.701,29.306,8.539,0.699,44.279
184,63.535,460.515,447.448,197.584,255.333,109.461,30.478,8.672,0.705,42.799
185,63.914,455.319,455.881,198.092,263.080,110.255,31.697,8.806,0.711,41.331
186,64.293,532.442,464.732,198.600,271.152,111.082,32.962,8.941,0.718,39.877
187,64.672,458.548,473.979,199.108,279.524,111.943,34.268,9.076,0.725,38.443
188,65.051,452.541,483.593,199.616,288.170,112.837,35.611,9.210,0.733,37.032
189,65.430,464.974,493.539,200.124,297.058,113.764,36.987,9.342,0.741,35.647
190,65.809,447.846,503.779,200.632,306.151,114.723,38.391,9.472,0.750,34.293
191,66.188,466.142,514.269,201.140,315.411,115.712,39.816,9.599,0.760,32.971
192,66.567,452.448,524.961,201.648,324.796,116.731,41.257,9.722,0.770,31.685
193,66.946,528.734,535.802,202.156,334.260,117.778,42.707,9.841,0.781,30.436
194,67.325,505.192,546.734,202.664,343.753,118.850,44.158,9.954,0.792,29.227
195,67.704,473.358,557.699,203.172,353.225,119.945,45.604,10.062,0.804,28.058
196,68.084,505.982,568.632,203.680,362.623,121.061,47.035,10.163,0.817,26.932
197,68.463,537.796,579.468,204.188,371.893,122.194,48.445,10.257,0.831,25.848
198,68.842,514.082,590.140,204.696,380.978,123.341,49.824,10.344,0.846,24.807
199,69.221,553.998,600.579,205.205,389.824,124.498,51.165,10.422,0.861,23.809
200,69.600,537.013,610.717,205.713,398.374,125.661,52.458,10.492,0.877,22.854
201,69.979,547.163,620.488,206.221,406.574,126.827,53.697,10.554,0.894,21.942
202,70.359,567.877,629.823,206.729,414.371,127.992,54.872,10.606,0.911,21.071
203,70.738,670.265,638.659,207.237,421.713,129.150,55.977,10.649,0.929,20.241
204,71.117,704.083,646.935,207.745,428.552,130.297,57.003,10.683,0.948,19.451
205,71.496,673.422,654.593,208.253,434.843,131.430,57.945,10.708,0.968,18.699
206,71.876,673.778,661.581,208.761,440.545,132.543,58.795,10.724,0.988,17.985
207,72.255,717.507,667.850,209.269,445.622,133.632,59.549,10.730,1.008,17.307
208,72.634,716.051,673.359,209.777,450.041,134.693,60.202,10.729,1.029,16.664
209,73.014,806.536,678.071,210.285,453.777,135.722,60.749,10.718,1.051,16.054
210,73.393,750.172,681.959,210.793,456.807,136.715,61.188,10.700,1.072,15.476
211,73.772,833.851,684.998,211.301,459.117,137.667,61.517,10.675,1.094,14.928
212,74.152,861.166,687.176,211.809,460.699,138.576,61.733,10.642,1.116,14.410
213,74.531,924.154,688.484,212.317,461.548,139.439,61.837,10.603,1.138,13.919
214,74.911,911.112,688.922,212.825,461.668,140.252,61.829,10.558,1.160,13.455
215,75.290,877.255,688.498,213.333,461.067,141.014,61.711,10.508,1.182,13.016
216,75.669,951.496,687.225,213.841,459.761,141.723,61.484,10.453,1.203,12.601
217,76.049,1001.153,685.127,214.349,457.769,142.378,61.152,10.394,1.224,12.210
218,76.428,1010.966,682.229,214.857,455.116,142.977,60.720,10.332,1.244,11.841
219,76.808,998.827,678.565,215.365,451.832,143.519,60.190,10.266,1.264,11.493
220,77.187,956.688,674.174,215.873,447.952,144.006,59.570,10.199,1.283,11.165
221,77.567,1002.525,669.100,216.381,443.512,144.437,58.863,10.130,1.300,10.857
222,77.946,949.939,663.391,216.889,438.554,144.813,58.078,10.060,1.317,10.569
223,78.326,1021.381,657.096,217.397,433.120,145.135,57.219,9.989,1.333,10.299
224,78.706,997.319,650.269,217.905,427.255,145.406,56.295,9.919,1.348,10.046
225,79.085,989.538,642.965,218.413,421.005,145.627,55.312,9.848,1.361,9.812
226,79.465,898.314,635.241,218.921,414.418,145.800,54.278,9.778,1.373,9.594
227,79.844,845.693,627.152,219.429,407.539,145.928,53.199,9.709,1.384,9.393
228,80.224,765.773,618.754,219.937,400.415,146.014,52.083,9.642,1.393,9.208
229,80.604,770.189,610.103,220.445,393.091,146.061,50.936,9.576,1.400,9.039
230,80.983,806.106,601.250,220.953,385.609,146.072,49.766,9.511,1.406,8.886
231,81.363,788.019,590.469,219.683,377.195,145.241,48.509,9.401,1.406,8.717
232,81.743,791.953,579.586,218.413,368.708,144.378,47.241,9.292,1.404,8.564
233,82.122,716.191,568.645,217.143,360.183,143.484,45.968,9.185,1.400,8.425
234,82.502,700.769,557.689,215.874,351.654,142.563,44.695,9.080,1.395,8.300
235,82.882,621.212,546.754,214.604,343.152,141.620,43.427,8.977,1.389,8.190
236,83.262,671.443,535.876,213.334,334.702,140.657,42.167,8.876,1.381,8.093
237,83.641,671.008,525.083,212.064,326.329,139.677,40.919,8.776,1.372,8.010
238,84.021,606.251,514.403,210.794,318.053,138.683,39.687,8.679,1.361,7.939
239,84.401,584.441,503.858,209.524,309.891,137.678,38.473,8.584,1.350,7.882
240,84.781,585.515,493.466,208.254,301.859,136.665,37.278,8.490,1.337,7.836
241,85.161,511.136,483.244,206.985,293.968,135.646,36.106,8.398,1.323,7.802
242,85.541,550.696,473.202,205.715,286.226,134.623,34.957,8.308,1.308,7.780
243,85.920,470.331,463.351,204.445,278.641,133.598,33.832,8.220,1.293,7.768
244,86.300,503.484,453.697,203.175,271.217,132.572,32.733,8.133,1.276,7.766
245,86.680,493.445,444.245,201.905,263.957,131.548,31.659,8.048,1.259,7.773
246,87.060,388.093,434.995,200.635,256.863,130.526,30.610,7.964,1.242,7.790
247,87.440,538.758,425.950,199.366,249.935,129.507,29.588,7.882,1.224,7.814
248,87.820,418.695,417.108,198.096,243.172,128.492,28.591,7.801,1.206,7.846
249,88.200,385.682,408.467,196.826,236.572,127.483,27.619,7.722,1.187,7.884
250,88.580,480.599,400.025,195.556,230.134,126.479,26.673,7.644,1.168,7.928
251,88.960,419.091,391.779,194.286,223.855,125.480,25.751,7.567,1.149,7.977
252,89.340,412.892,383.725,193.016,217.732,124.488,24.853,7.492,1.130,8.030
253,89.720,385.621,375.860,191.746,211.764,123.502,23.980,7.418,1.111,8.085
254,90.100,335.696,368.180,190.477,205.948,122.523,23.130,7.345,1.092,8.143
255,90.480,477.734,360.683,189.207,200.282,121.550,22.303,7.274,1.073,8.201
256,90.860,348.100,353.365,187.937,194.764,120.584,21.500,7.204,1.054,8.260
257,91.241,310.094,346.225,186.667,189.393,119.624,20.719,7.135,1.036,8.317
258,91.621,319.374,339.260,185.397,184.169,118.671,19.961,7.068,1.018,8.373
259,92.001,303.227,332.469,184.127,179.091,117.725,19.226,7.002,1.000,8.425
260,92.381,370.955,325.851,182.858,174.158,116.786,18.514,6.937,0.982,8.474
261,92.761,276.903,319.405,181.588,169.371,115.853,17.824,6.874,0.965,8.517
262,93.141,320.085,313.130,180.318,164.730,114.928,17.157,6.812,0.948,8.555
263,93.521,275.603,307.027,179.048,160.236,114.009,16.513,6.751,0.931,8.587
264,93.902,281.139,301.096,177.778,155.889,113.097,15.892,6.692,0.915,8.611
265,94.282,234.311,295.336,176.508,151.689,112.193,15.294,6.634,0.899,8.627
266,94.662,209.054,289.749,175.239,147.638,111.296,14.719,6.577,0.883,8.634
267,95.042,197.698,284.333,173.969,143.736,110.407,14.168,6.522,0.868,8.632
268,95.423,285.727,279.089,172.699,139.983,109.525,13.640,6.468,0.853,8.620
269,95.803,266.845,274.017,171.429,136.379,108.652,13.135,6.415,0.838,8.598
270,96.183,169.639,269.116,170.159,132.923,107.787,12.654,6.363,0.824,8.566
271,96.564,266.535,264.385,168.889,129.615,106.930,12.196,6.312,0.809,8.522
272,96.944,223.567,259.823,167.619,126.454,106.082,11.760,6.262,0.796,8.468
273,97.324,248.013,255.428,166.350,123.437,105.243,11.348,6.214,0.782,8.403
274,97.705,158.838,251.197,165.080,120.563,104.413,10.958,6.166,0.769,8.328
275,98.085,137.409,247.129,163.810,117.829,103.592,10.590,6.120,0.756,8.242
276,98.466,177.661,243.220,162.540,115.233,102.780,10.244,6.074,0.744,8.145
277,98.846,129.401,239.466,161.270,112.770,101.978,9.919,6.029,0.732,8.039
278,99.226,107.020,235.863,160.000,110.437,101.185,9.615,5.985,0.720,7.923
279,99.607,116.444,232.408,158.731,108.229,100.401,9.330,5.942,0.708,7.798
280,99.987,97.340,229.095,157.461,106.143,99.627,9.065,5.899,0.696,7.664
281,100.368,162.000,225.919,156.191,104.173,98.863,8.818,5.858,0.685,7.523
282,100.748,161.311,222.876,154.921,102.314,98.108,8.589,5.816,0.674,7.375
283,101.129,151.163,219.959,153.651,100.560,97.361,8.377,5.776,0.664,7.221
284,101.509,156.968,217.162,152.381,98.908,96.624,8.181,5.736,0.653,7.061
285,101.890,97.027,214.481,151.111,97.350,95.896,8.000,5.696,0.643,6.896
286,102.271,169.614,211.909,149.842,95.881,95.176,7.833,5.657,0.633,6.728
287,102.651,153.865,209.439,148.572,94.496,94.465,7.680,5.618,0.624,6.556
288,103.032,159.187,207.067,147.302,93.190,93.762,7.540,5.579,0.614,6.383
289,103.412,88.143,204.787,146.032,91.956,93.066,7.411,5.541,0.605,6.208
290,103.793,144.360,202.591,144.762,90.789,92.378,7.293,5.504,0.596,6.032
291,104.174,141.858,200.476,143.492,89.685,91.696,7.184,5.466,0.588,5.857
292,104.554,141.335,198.436,142.223,88.638,91.022,7.085,5.429,0.579,5.683
293,104.935,172.951,196.464,140.953,87.643,90.354,6.995,5.392,0.571,5.510
294,105.316,126.052,194.557,139.683,86.696,89.691,6.912,5.355,0.563,5.340
295,105.696,116.151,192.709,138.413,85.793,89.035,6.835,5.318,0.555,5.173
296,106.077,104.049,190.916,137.143,84.929,88.384,6.765,5.281,0.548,5.009
297,106.458,114.428,189.173,135.873,84.101,87.737,6.700,5.245,0.541,4.849
298,106.839,26.901,187.476,134.603,83.304,87.095,6.640,5.209,0.534,4.694
299,107.219,98.479,185.821,133.334,82.537,86.458,6.584,5.172,0.527,4.544
300,107.600,41.329,184.205,132.064,81.795,85.824,6.532,5.136,0.520,4.399
301,107.981,93.180,182.625,130.794,81.076,85.193,6.483,5.100,0.514,4.259
302,108.362,107.056,181.076,129.524,80.377,84.566,6.436,5.064,0.507,4.125
303,108.743,145.216,179.557,128.254,79.696,83.942,6.392,5.028,0.501,3.997
304,109.123,55.216,178.064,126.984,79.032,83.321,6.349,4.992,0.495,3.875
305,109.504,82.895,176.595,125.715,78.381,82.702,6.308,4.956,0.490,3.759
306,109.885,81.845,175.149,124.445,77.743,82.085,6.267,4.920,0.484,3.649
307,110.266,48.535,173.721,123.175,77.116,81.470,6.227,4.884,0.479,3.545
308,110.647,119.418,172.312,121.905,76.499,80.857,6.188,4.848,0.473,3.447
309,111.028,91.259,170.919,120.635,75.890,80.245,6.148,4.812,0.468,3.355
310,111.409,48.150,169.541,119.365,75.289,79.635,6.109,4.776,0.463,3.268
311,111.790,78.339,168.175,118.096,74.695,79.026,6.069,4.741,0.458,3.187
312,112.171,90.362,166.822,116.826,74.107,78.417,6.028,4.705,0.454,3.111
313,112.552,111.143,165.480,115.556,73.525,77.810,5.987,4.669,0.449,3.040
314,112.933,143.204,164.147,114.286,72.947,77.203,5.945,4.633,0.444,2.974
315,113.314,70.061,162.823,113.016,72.374,76.597,5.903,4.597,0.440,2.912
316,113.695,74.379,161.508,111.746,71.805,75.992,5.859,4.561,0.436,2.855
317,114.076,64.066,160.200,110.476,71.240,75.387,5.814,4.525,0.432,2.802
318,114.457,101.940,158.899,109.207,70.679,74.782,5.768,4.489,0.428,2.753
319,114.838,128.872,157.605,107.937,70.122,74.177,5.721,4.453,0.424,2.707
320,115.219,145.412,156.316,106.667,69.568,73.573,5.673,4.417,0.420,2.665
321,115.600,73.478,155.033,105.397,69.018,72.968,5.624,4.382,0.416,2.625
322,115.982,86.528,153.755,104.127,68.470,72.364,5.574,4.346,0.412,2.588
323,116.363,75.350,152.482,102.857,67.927,71.760,5.523,4.310,0.409,2.554
324,116.744,102.743,151.213,101.588,67.386,71.155,5.471,4.274,0.405,2.522
325,117.125,86.716,149.950,100.318,66.849,70.551,5.418,4.238,0.402,2.492
326,117.506,78.472,148.690,99.048,66.315,69.947,5.364,4.202,0.399,2.464
327,117.888,86.688,147.435,97.778,65.784,69.342,5.309,4.166,0.395,2.437
328,118.269,103.512,146.183,96.508,65.257,68.737,5.254,4.130,0.392,2.412
329,118.650,132.338,144.936,95.238,64.734,68.133,5.199,4.094,0.389,2.389
330,119.031,67.410,143.693,93.968,64.213,67.528,5.142,4.058,0.386,2.366
