спектр                       часть     χ²/ndf до      после      Δ %  что разошлось; состав (доля %, до → после, > 0.05 п.п.)
G1S16_Am241_P25              known        1.6038     1.5559   -2.987  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S16_Am241_P5               known        2.6782     2.6751   -0.116  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S16_Ba133_P25              known        2.6781     2.6608   -0.646  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S16_Ba133_P5               known       11.6543    11.4952   -1.365  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S16_Cd109_P25              known        1.3489     1.3496   +0.052  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S16_Cd109_P5               known        3.5807     3.6201   +1.100  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S16_Ce139_P25              known        1.1906     1.1916   +0.084  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S16_Ce139_P5               known        3.2782     3.3008   +0.689  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S16_Co57_P5                known        1.0061     1.0074   +0.129  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S16_Co60_P25               known        1.7026     1.7397   +2.179  <число строк 1→2>, chi2ndf, chi2ndf_pois, collinearity, decay_s, dt_decay_s; Ann-511 0.00→0.35; Co-60 100.00→99.65
G1S16_Co60_P5                known        9.7019     9.6699   -0.330  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s
G1S16_Cs137_P25              known        1.9126     1.8600   -2.750  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S16_Cs137_P5               known        8.0675     8.2484   +2.242  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S16_Eu152_P25              known        3.4446     3.4509   +0.183  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois
G1S16_Eu152_P5               known       13.8517    13.5955   -1.850  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S16_Mn54_P25               known        1.5419     1.5413   -0.039  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S16_Mn54_P5                known        2.8654     2.9041   +1.351  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s
G1S16_Na22_P25               known        4.3584     4.3611   +0.062  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s; Ann-511 70.15→70.21; Na-22 29.85→29.79
G1S16_Na22_P5                known       13.8055    13.9115   +0.768  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s; Ann-511 72.53→72.67; Na-22 27.46→27.32
G1S16_Th228_P25              known        1.1891     1.1847   -0.370  anchor_note, anchor_offset_kev, ch_hi, ch_lo, chi2ndf, chi2ndf_pois; Bi-212 8.16→8.10
G1S16_Th228_P5               known        4.4636     4.4483   -0.343  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s; Pb-212 50.54→50.28; Tl-208 37.67→37.95
G1S16_Y88_P25                known        1.0725     1.0795   +0.653  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S16_Y88_P5                 known        1.3376     1.3380   +0.030  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s; Ann-511 1.58→1.46; Y-88 98.42→98.54
G1S24_Am241_P5               known        5.8146     5.7375   -1.326  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S24_Ba133_P5               known       17.5028    17.3493   -0.877  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Bi207_P5               known       23.2399    23.1362   -0.446  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Cd109_P5               known        3.2089     3.2303   +0.667  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Co60_P5                known       12.1252    11.7635   -2.983  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S24_Cs137_Denta120         known        1.0743     1.0760   +0.158  chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s, dt_decay_s
G1S24_Cs137_Denta120_2       known        1.6090     1.6090   +0.000  chi2ndf_pois, dt_decay_s, dt_decay_s, inflate, inflate, mda_decay_s
G1S24_Cs137_Mar              known        2.2396     2.2549   +0.683  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S24_Cs137_Mar_2            known        3.8369     3.8218   -0.394  anchor_note, chi2ndf, chi2ndf_pois, collinearity, decay_s, decay_s
G1S24_Cs137_P25              known        3.2893     3.0871   -6.147  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
G1S24_Cs137_P5               known       13.7566    13.6792   -0.563  anchor_note, anchor_offset_kev, chi2ndf, chi2ndf_pois, collinearity, decay_s
