spectrum,E_keV,eps
G1S_Ba133_25cm,59.5410,0.002772444
G1S_Ba133_25cm,80.9970,0.003134299
G1S_Ba133_25cm,121.7820,0.003067634
G1S_Ba133_25cm,238.6320,0.002789831
G1S_Ba133_25cm,302.8510,0.00244027
G1S_Ba133_25cm,344.2790,0.002208708
G1S_Ba133_25cm,356.0130,0.002159463
G1S_Ba133_25cm,583.1870,0.001412106
G1S_Ba133_25cm,661.6570,0.001221501
G1S_Ba133_25cm,834.8480,0.0009983515
G1S_Ba133_25cm,898.0420,0.0009063597
G1S_Ba133_25cm,964.0790,0.0008293017
G1S_Ba133_25cm,1085.8690,0.0007767922
G1S_Ba133_25cm,1112.0690,0.0007767083
G1S_Ba133_25cm,1173.2280,0.0006946485
G1S_Ba133_25cm,1274.5370,0.000672327
G1S_Ba133_25cm,1332.4920,0.0006198122
G1S_Ba133_25cm,1408.0060,0.0006238686
G1S_Ba133_25cm,1836.0630,0.0004509345
G1S_Ba133_25cm,2614.5110,0.0003054126
G1S_Co60_25cm,59.5410,0.002772444
G1S_Co60_25cm,80.9970,0.003134299
G1S_Co60_25cm,121.7820,0.003067634
G1S_Co60_25cm,238.6320,0.002789831
G1S_Co60_25cm,302.8510,0.00244027
G1S_Co60_25cm,344.2790,0.002208708
G1S_Co60_25cm,356.0130,0.002159463
G1S_Co60_25cm,583.1870,0.001412106
G1S_Co60_25cm,661.6570,0.001221501
G1S_Co60_25cm,834.8480,0.0009983515
G1S_Co60_25cm,898.0420,0.0009063597
G1S_Co60_25cm,964.0790,0.0008293017
G1S_Co60_25cm,1085.8690,0.0007767922
G1S_Co60_25cm,1112.0690,0.0007767083
G1S_Co60_25cm,1173.2280,0.0006946485
G1S_Co60_25cm,1274.5370,0.000672327
G1S_Co60_25cm,1332.4920,0.0006198122
G1S_Co60_25cm,1408.0060,0.0006238686
G1S_Co60_25cm,1836.0630,0.0004509345
G1S_Co60_25cm,2614.5110,0.0003054126
G1S_Eu152_25cm,59.5410,0.002772444
G1S_Eu152_25cm,80.9970,0.003134299
G1S_Eu152_25cm,121.7820,0.003067634
G1S_Eu152_25cm,238.6320,0.002789831
G1S_Eu152_25cm,302.8510,0.00244027
G1S_Eu152_25cm,344.2790,0.002208708
G1S_Eu152_25cm,356.0130,0.002159463
G1S_Eu152_25cm,583.1870,0.001412106
G1S_Eu152_25cm,661.6570,0.001221501
G1S_Eu152_25cm,834.8480,0.0009983515
G1S_Eu152_25cm,898.0420,0.0009063597
G1S_Eu152_25cm,964.0790,0.0008293017
G1S_Eu152_25cm,1085.8690,0.0007767922
G1S_Eu152_25cm,1112.0690,0.0007767083
G1S_Eu152_25cm,1173.2280,0.0006946485
G1S_Eu152_25cm,1274.5370,0.000672327
G1S_Eu152_25cm,1332.4920,0.0006198122
G1S_Eu152_25cm,1408.0060,0.0006238686
G1S_Eu152_25cm,1836.0630,0.0004509345
G1S_Eu152_25cm,2614.5110,0.0003054126
G1S_Eu152_5cm,59.5410,0.04462078
G1S_Eu152_5cm,80.9980,0.04571469
G1S_Eu152_5cm,88.0340,0.04273808
G1S_Eu152_5cm,121.7820,0.04137813
G1S_Eu152_5cm,122.0610,0.04298577
G1S_Eu152_5cm,238.6320,0.02839861
G1S_Eu152_5cm,244.6970,0.03331484
G1S_Eu152_5cm,302.8510,0.02577367
G1S_Eu152_5cm,344.2790,0.02504321
G1S_Eu152_5cm,356.0130,0.02340067
G1S_Eu152_5cm,583.1870,0.01471679
G1S_Eu152_5cm,661.6570,0.013742
G1S_Eu152_5cm,727.3300,0.01212129
G1S_Eu152_5cm,834.8480,0.01129982
G1S_Eu152_5cm,860.5570,0.01021314
G1S_Eu152_5cm,898.0420,0.009998491
G1S_Eu152_5cm,964.0570,0.01023209
G1S_Eu152_5cm,1115.5390,0.008189508
G1S_Eu152_5cm,1173.2280,0.006513874
G1S_Eu152_5cm,1274.5370,0.006655385
G1S_Eu152_5cm,1332.4920,0.00590343
G1S_Eu152_5cm,1408.0130,0.005909987
G1S_Eu152_5cm,1836.0630,0.004787202
G1S_Eu152_5cm,2614.5110,0.003032573
G1S_K40_Denta,238.6320,0.06482699
G1S_K40_Denta,241.9950,0.08536038
G1S_K40_Denta,295.2230,0.04754319
G1S_K40_Denta,338.3200,0.06510581
G1S_K40_Denta,351.9320,0.04406149
G1S_K40_Denta,583.1870,0.02981183
G1S_K40_Denta,609.3200,0.02575861
G1S_K40_Denta,661.6570,0.02443609
G1S_K40_Denta,911.2040,0.02230087
G1S_K40_Denta,1120.2940,0.01668434
G1S_K40_Denta,1460.8220,0.01530646
G1S_K40_Denta,1764.4910,0.009715169
G1S_K40_Denta,2614.5110,0.00694024
G1S_Ra226_Denta,238.6320,0.06482699
G1S_Ra226_Denta,241.9950,0.08536038
G1S_Ra226_Denta,295.2230,0.04754319
G1S_Ra226_Denta,338.3200,0.06510581
G1S_Ra226_Denta,351.9320,0.04406149
G1S_Ra226_Denta,583.1870,0.02981183
G1S_Ra226_Denta,609.3200,0.02575861
G1S_Ra226_Denta,661.6570,0.02443609
G1S_Ra226_Denta,911.2040,0.02230087
G1S_Ra226_Denta,1120.2940,0.01668434
G1S_Ra226_Denta,1460.8220,0.01530646
G1S_Ra226_Denta,1764.4910,0.009715169
G1S_Ra226_Denta,2614.5110,0.00694024
G1S_Ra226_Petri,67.8680,0.05899764
G1S_Ra226_Petri,78.3600,0.07238008
G1S_Ra226_Petri,121.7820,0.1080348
G1S_Ra226_Petri,238.6320,0.09062932
G1S_Ra226_Petri,241.9950,0.1231789
G1S_Ra226_Petri,295.2230,0.06775857
G1S_Ra226_Petri,338.3200,0.07812554
G1S_Ra226_Petri,344.2790,0.05964747
G1S_Ra226_Petri,351.9320,0.06250617
G1S_Ra226_Petri,583.1870,0.04334782
G1S_Ra226_Petri,609.3200,0.03670985
G1S_Ra226_Petri,661.6570,0.03544419
G1S_Ra226_Petri,778.9040,0.0266105
G1S_Ra226_Petri,911.2040,0.03190514
G1S_Ra226_Petri,964.0790,0.02174192
G1S_Ra226_Petri,1085.8690,0.01793317
G1S_Ra226_Petri,1112.0690,0.01874094
G1S_Ra226_Petri,1120.2940,0.02398277
G1S_Ra226_Petri,1157.0200,0.01459107
G1S_Ra226_Petri,1408.0060,0.01538598
G1S_Ra226_Petri,1460.8220,0.01984676
G1S_Ra226_Petri,1764.4910,0.01331256
G1S_Ra226_Petri,2614.5110,0.008785778
G1S_Th228_25cm,59.5410,0.002772444
G1S_Th228_25cm,80.9970,0.003134299
G1S_Th228_25cm,121.7820,0.003067634
G1S_Th228_25cm,238.6320,0.002789831
G1S_Th228_25cm,302.8510,0.00244027
G1S_Th228_25cm,344.2790,0.002208708
G1S_Th228_25cm,356.0130,0.002159463
G1S_Th228_25cm,583.1870,0.001412106
G1S_Th228_25cm,661.6570,0.001221501
G1S_Th228_25cm,834.8480,0.0009983515
G1S_Th228_25cm,898.0420,0.0009063597
G1S_Th228_25cm,964.0790,0.0008293017
G1S_Th228_25cm,1085.8690,0.0007767922
G1S_Th228_25cm,1112.0690,0.0007767083
G1S_Th228_25cm,1173.2280,0.0006946485
G1S_Th228_25cm,1274.5370,0.000672327
G1S_Th228_25cm,1332.4920,0.0006198122
G1S_Th228_25cm,1408.0060,0.0006238686
G1S_Th228_25cm,1836.0630,0.0004509345
G1S_Th228_25cm,2614.5110,0.0003054126
G1S_Th228_5cm,59.5410,0.04462078
G1S_Th228_5cm,80.9980,0.04571469
G1S_Th228_5cm,88.0340,0.04273808
G1S_Th228_5cm,121.7820,0.04137813
G1S_Th228_5cm,122.0610,0.04298577
G1S_Th228_5cm,238.6320,0.02839861
G1S_Th228_5cm,244.6970,0.03331484
G1S_Th228_5cm,302.8510,0.02577367
G1S_Th228_5cm,344.2790,0.02504321
G1S_Th228_5cm,356.0130,0.02340067
G1S_Th228_5cm,583.1870,0.01471679
G1S_Th228_5cm,661.6570,0.013742
G1S_Th228_5cm,727.3300,0.01212129
G1S_Th228_5cm,834.8480,0.01129982
G1S_Th228_5cm,860.5570,0.01021314
G1S_Th228_5cm,898.0420,0.009998491
G1S_Th228_5cm,964.0570,0.01023209
G1S_Th228_5cm,1115.5390,0.008189508
G1S_Th228_5cm,1173.2280,0.006513874
G1S_Th228_5cm,1274.5370,0.006655385
G1S_Th228_5cm,1332.4920,0.00590343
G1S_Th228_5cm,1408.0130,0.005909987
G1S_Th228_5cm,1836.0630,0.004787202
G1S_Th228_5cm,2614.5110,0.003032573
G1S_Th232_Denta,238.6320,0.06482699
G1S_Th232_Denta,241.9950,0.08536038
G1S_Th232_Denta,295.2230,0.04754319
G1S_Th232_Denta,338.3200,0.06510581
G1S_Th232_Denta,351.9320,0.04406149
G1S_Th232_Denta,583.1870,0.02981183
G1S_Th232_Denta,609.3200,0.02575861
G1S_Th232_Denta,661.6570,0.02443609
G1S_Th232_Denta,911.2040,0.02230087
G1S_Th232_Denta,1120.2940,0.01668434
G1S_Th232_Denta,1460.8220,0.01530646
G1S_Th232_Denta,1764.4910,0.009715169
G1S_Th232_Denta,2614.5110,0.00694024
G1S_Th232_Marinelli,238.6320,0.04344207
G1S_Th232_Marinelli,241.9950,0.05053376
G1S_Th232_Marinelli,295.2230,0.03246181
G1S_Th232_Marinelli,338.3200,0.03325384
G1S_Th232_Marinelli,351.9320,0.03228445
G1S_Th232_Marinelli,463.0040,0.02750433
G1S_Th232_Marinelli,583.1870,0.02171222
G1S_Th232_Marinelli,609.3200,0.01982829
G1S_Th232_Marinelli,661.6570,0.018713
G1S_Th232_Marinelli,768.3600,0.01633088
G1S_Th232_Marinelli,911.2040,0.01346059
G1S_Th232_Marinelli,1120.2940,0.01374746
G1S_Th232_Marinelli,1460.8220,0.009742536
G1S_Th232_Marinelli,1764.4910,0.008106329
G1S_Th232_Marinelli,2614.5110,0.004713864
G1S_Th232_Petri,67.8680,0.05899764
G1S_Th232_Petri,78.3600,0.07238008
G1S_Th232_Petri,121.7820,0.1080348
G1S_Th232_Petri,238.6320,0.09062932
G1S_Th232_Petri,241.9950,0.1231789
G1S_Th232_Petri,295.2230,0.06775857
G1S_Th232_Petri,338.3200,0.07812554
G1S_Th232_Petri,344.2790,0.05964747
G1S_Th232_Petri,351.9320,0.06250617
G1S_Th232_Petri,583.1870,0.04334782
G1S_Th232_Petri,609.3200,0.03670985
G1S_Th232_Petri,661.6570,0.03544419
G1S_Th232_Petri,778.9040,0.0266105
G1S_Th232_Petri,911.2040,0.03190514
G1S_Th232_Petri,964.0790,0.02174192
G1S_Th232_Petri,1085.8690,0.01793317
G1S_Th232_Petri,1112.0690,0.01874094
G1S_Th232_Petri,1120.2940,0.02398277
G1S_Th232_Petri,1157.0200,0.01459107
G1S_Th232_Petri,1408.0060,0.01538598
G1S_Th232_Petri,1460.8220,0.01984676
G1S_Th232_Petri,1764.4910,0.01331256
G1S_Th232_Petri,2614.5110,0.008785778
ASN16_Am241,20.0,0.00180392
ASN16_Am241,40.0,0.0400862
ASN16_Am241,60.0,0.0553087
ASN16_Am241,80.0,0.06203
ASN16_Am241,100.0,0.0651755
ASN16_Am241,120.0,0.0655808
ASN16_Am241,140.0,0.0639334
ASN16_Am241,160.0,0.0609357
ASN16_Am241,180.0,0.0571834
ASN16_Am241,200.0,0.053116
ASN16_Am241,220.0,0.0490271
ASN16_Am241,240.0,0.0450954
ASN16_Am241,260.0,0.0414189
ASN16_Am241,280.0,0.0380421
ASN16_Am241,300.0,0.0349761
ASN16_Am241,320.0,0.0322124
ASN16_Am241,340.0,0.029732
ASN16_Am241,360.0,0.027511
ASN16_Am241,380.0,0.0255239
ASN16_Am241,400.0,0.0237457
