spectrum,det,part,chi2ndf,inflate,gain,offset_ch,drift_edge,gain_edge,offset_edge,matrix_applied,matrix_note,cascade,efficiency,background,peaks,components,ms,cpu_ms,near_sigmas,near_counts,error,chi2ndf_pois,bg_rejected,model_residual_pct,library,library_note,matrix_found,share_dropped_lines,share_offered_lines,matrix_images,anchors_used,anchor_offset_kev,anchor_note,anchor_light,anchor_beta,anchor_form
G1S16_Am241_P25,G1S16,known,1.5801,1.2570,0.869905,0.000,0,0,0,1,"НАЙДЕНА, применена",0,1,1,2,3,170,78,,0,,3.7501,,17.211,sample,"распад 1, атомных 2, линий 6; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 3; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,1,0.000,"опор 1; усиление 0.86991, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -11.92 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 1 из 2, нехватка), растяжение 1.20027 по 59.5 кэВ",NaI:Tl,1.0000,line
G1S16_Ba133_P25,G1S16,known,2.6752,1.6356,1.000848,-0.466,0,0,0,1,"НАЙДЕНА, применена",1,1,1,10,3,207,141,,0,,15.1053,,20.490,sample,"распад 1, атомных 2, линий 19; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 3; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,3,-1.367,"опор 3; усиление 1.00085, ноль -1.37 кэВ (-0.466 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -5.15 кэВ калибровки, свет -2.61 кэВ (по съёмке: опор 4 из 6 (32.3…358.1 кэВ), нуль света кан 0.92), растяжение 1.00658 по 383.8 кэВ",NaI:Tl,1.0000,line
G1S16_Cd109_P25,G1S16,known,1.3458,1.1601,0.991637,-0.034,0,0,0,1,"НАЙДЕНА, применена",1,1,1,5,3,120,125,,0,,2.4781,,31.883,sample,"распад 1, атомных 2, линий 9; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 6; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,2,-0.099,"опор 2; усиление 0.99164, ноль -0.10 кэВ (-0.034 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -4.87 кэВ калибровки, свет -0.33 кэВ (по съёмке: опор 2 из 2 (24.0…91.6 кэВ), нуль света кан 0.12), растяжение 1.05134 по 88.0 кэВ",NaI:Tl,1.0000,line
G1S16_Ce139_P25,G1S16,known,1.1903,1.0910,1.007487,-0.573,0,0,0,1,"НАЙДЕНА, применена",1,1,1,8,3,151,109,,0,,1.5564,,21.197,sample,"распад 1, атомных 2, линий 9; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,2,-1.693,"опор 2; усиление 1.00749, ноль -1.69 кэВ (-0.573 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -5.11 кэВ калибровки, свет -0.94 кэВ (по съёмке: опор 2 из 2 (36.7…169.2 кэВ), нуль света кан 0.34), растяжение 1.02500 по 165.9 кэВ",NaI:Tl,1.0000,line
G1S16_Co60_P25,G1S16,known,1.7567,1.3254,1.003240,0.000,0,0,0,1,"НАЙДЕНА, применена",1,1,1,6,7,360,219,,0,,2.1277,,5.460,sample,"распад 1, атомных 1, линий 10; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1332, DE-1332, SE-1173, DE-1173",1,0,0,1,2,0.000,"опор 2; усиление 1.00324, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = 0.95 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 0 из 3, нехватка), растяжение 0.99929 по 1332.5 кэВ",NaI:Tl,1.0000,line
G1S16_Cs137_P25,G1S16,known,1.9586,1.3995,1.001523,-0.382,0,0,0,1,"НАЙДЕНА, применена",1,1,1,8,2,153,94,,0,,2.9070,,6.893,sample,"распад 1, атомных 1, линий 8; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,2,-1.125,"опор 2; усиление 1.00152, ноль -1.12 кэВ (-0.382 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -4.05 кэВ калибровки, свет -2.13 кэВ (по съёмке: опор 2 из 2 (34.6…661.9 кэВ), нуль света кан 0.74), растяжение 1.00289 по 661.7 кэВ",NaI:Tl,1.0000,line
G1S16_Eu152_P25,G1S16,known,3.4288,1.8517,1.007138,-0.083,0,0,0,1,"НАЙДЕНА, применена",1,1,1,14,10,1314,688,,0,,18.5565,,15.274,sample,"распад 1, атомных 2, линий 43; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1408, DE-1408, SE-1299, DE-1299, SE-1213, DE-1213",1,0,0,1,6,-0.247,"опор 6; усиление 1.00714, ноль -0.25 кэВ (-0.083 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -7.62 кэВ калибровки, свет -1.59 кэВ (по съёмке: опор 4 из 15 (42.9…346.3 кэВ), нуль света кан 0.56), растяжение 1.00414 по 1457.6 кэВ",NaI:Tl,1.0000,line
G1S16_Mn54_P25,G1S16,known,1.5796,1.2568,0.999727,0.000,0,0,0,1,"НАЙДЕНА, применена",0,1,1,7,2,218,141,,0,,1.8994,,7.857,sample,"распад 1, атомных 1, линий 4; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; аннигиляционный образ НЕ взят: в составе нет линии выше 1022 кэВ",1,0,0,1,1,0.000,"опор 1; усиление 0.99973, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -11.96 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 0 из 1, нехватка), растяжение 1.01433 по 834.8 кэВ",NaI:Tl,1.0000,line
G1S16_Na22_P25,G1S16,known,4.3704,2.0905,1.003188,0.000,0,0,0,1,"НАЙДЕНА, применена",1,1,1,9,5,264,156,,0,,9.1249,,7.689,sample,"распад 1, атомных 1, линий 7; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-1275, DE-1275",1,0,0,2,2,0.000,"опор 2; усиление 1.00319, ноль 0.00 кэВ (0.000 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -7.97 кэВ калибровки, свет 0.00 кэВ (по прибору: кандидатов ≤ 700 кэВ 1 из 2, нехватка), растяжение 1.00625 по 1274.5 кэВ",NaI:Tl,1.0000,line
G1S16_Th228_P25,G1S16,known,1.1853,1.0887,1.008227,-0.941,0,0,0,1,"НАЙДЕНА, применена",1,1,1,12,8,328,297,,0,,1.3847,,12.503,sample,"распад 1, атомных 2, линий 60; полоса сведена ПОЛОМ ПО КРИВОЙ 20.0 кэВ (1.0 % от максимума, Min_Range 30.0), фит на всём спектре (умолчание), из них ниже Min_Range 2; вылет от линий состава: SE-2615, DE-2615, SE-1620, DE-1620",1,0,0,1,7,-2.789,"опор 7; усиление 1.00823, ноль -2.79 кэВ (-0.941 кан.); свет NaI:Tl: β 1.000, форма line; нуль adc: кан 0 = -8.92 кэВ калибровки, свет -6.28 кэВ (по съёмке: опор 5 из 10 (80.1…584.6 кэВ), нуль света кан 2.17), растяжение 1.00101 по 2614.5 кэВ",NaI:Tl,1.0000,line
